,estados,grado promedio de escolaridad de la poblacion de 15 y mas anos,poblacion de 6 a 14 anos que no especifico si sabe o no leer y escribir,poblacion de 6 a 14 anos que no sabe leer y escribir,poblacion de 6 a 14 anos que sabe leer y escribir,poblacion de 8 a 14 anos que sabe leer y escribir,porcentaje de la poblacion de 12 a 14 anos que asiste a la escuela,porcentaje de la poblacion de 15 a 24 anos que asiste a la escuela,porcentaje de la poblacion de 15 anos y mas con instruccion media superior,porcentaje de la poblacion de 15 anos y mas con instruccion no especificada,porcentaje de la poblacion de 15 anos y mas con instruccion superior,porcentaje de la poblacion de 3 a 5 anos que asiste a la escuela,porcentaje de la poblacion de 3 anos y mas que asiste a la escuela,porcentaje de la poblacion de 3 anos y mas que no asiste a la escuela,porcentaje de la poblacion de 3 anos y mas que no especifico si asiste o no a la escuela,porcentaje de la poblacion de 6 a 11 anos que asiste a la escuela,porcentaje de personas de 15 anos y mas alfabetas,porcentaje de poblacion de 15 anos y mas con escolaridad basica,porcentaje de poblacion de 15 anos y mas sin escolaridad,porcentaje de poblacion de 25 anos y mas alfabeta,tasa de alfabetizacion de las personas de 15 a 24 anos
0,aguascalientes,10.3491343202918,726.0,17770.0,216002.0,178165.0,91.220201760586,44.5856355724419,23.5976567613562,0.154682242055089,24.5933214233461,59.9989851965547,30.1180637980824,69.8468091714828,0.0351270304347987,96.8196932660212,97.7402146877864,49.3423838968759,2.31195567636663,97.2407320266131,99.2443636167066
1,baja california,10.2026545439928,4478.0,52605.0,495977.0,421200.0,92.1158388644841,46.4324586355446,27.9796551463349,0.336270831757732,21.6082717143256,50.4735118606164,27.0316025837727,72.4407922358318,0.527605180395498,93.9189152260765,97.7485847344907,47.3120536423616,2.76374866522024,97.4314394790029,98.824996417672
2,baja california sur,10.3425484887369,654.0,12780.0,107786.0,92208.0,94.3085748792271,46.5615829122924,29.1641564248802,0.250354780839157,23.1352250515436,62.8091296714322,28.0970470920408,71.7793109266294,0.123641981329797,96.30320585203,97.4234878303478,44.5094318151391,2.94083192759793,96.9798426956634,98.9849635434
3,campeche,9.62513019267048,624.0,14959.0,129890.0,109146.0,90.3870504811751,47.0355184052315,22.2695332461626,0.136466598628599,22.337912968866,69.9365320134121,28.8190017848037,71.1402482334086,0.0407499817877176,95.1115823384885,94.0044014870759,48.6507816812626,6.60530550508016,92.6675513642225,98.6861881658053
4,chiapas,7.78321829739686,3217.0,202707.0,866691.0,758465.0,81.6681090943114,34.577641004944,18.241451738804,0.0985341871717084,13.3263817477632,62.445033928994,30.32812684234,69.6305757952299,0.0412973624300912,93.0859472843516,86.216105681186,55.0410207618553,13.2926115644057,82.5904019445275,96.2939158510746
5,chihuahua,9.99694205883146,3157.0,55258.0,528252.0,446913.0,90.1295078700936,46.6478763272954,23.80584310294,0.287294669915581,21.7179870246394,51.9013489405652,28.1522177532294,71.7572291248866,0.0905531218839979,94.584187381934,97.0962141647268,51.1213661486575,3.06750905384742,96.7592482850393,98.2282948157402
6,ciudad de mexico,11.4820394079325,6819.0,69130.0,984731.0,821303.0,93.4366795849481,55.2533564250099,27.6397689579857,0.187478179990977,34.6380975535754,71.9629964732168,25.115795999336,74.5202905083942,0.363913492269875,95.3548733554104,98.1526178379857,35.5267441267326,2.00791118171538,97.9171380874982,99.2191907070654
7,coahuila de zaragoza,10.4319955651311,2000.0,39038.0,445183.0,367410.0,92.6132399801394,45.2682455111254,24.9135702481337,0.349474945733168,23.6906453824409,60.1797502405862,28.3640869673758,71.5718578747244,0.064055157899823,96.1187605468463,97.9928611269887,49.1167501031804,1.92955932051191,97.7416161123218,98.83226479909
8,colima,10.0467299821295,436.0,10818.0,97826.0,82735.0,91.056010626522,49.1608752895689,23.9668723214543,0.139859637012109,24.383934478097,65.4501145957237,28.0135920471092,71.9413964428047,0.0450115100861506,95.4636433428383,96.4966778842005,47.5125478183335,3.99678574510312,95.8341929006615,98.9050547472626
9,durango,9.74606943077146,1165.0,29229.0,279776.0,234171.0,90.9438090502238,44.0103228904093,22.6763891876607,0.190943704292661,19.5515863453968,59.1350830546317,29.8905450941984,70.0451409197304,0.0643139860712634,96.3014025379258,97.0599078270956,54.7293912681262,2.85168949452367,96.4636388843566,98.9414930917499
