,estados,densidad de poblacion,edad mediana,edad mediana hombres,edad mediana mujeres,poblacion a mitad de ano,poblacion de 0 a 4 anos,poblacion de 0 a 4 anos. hombres,poblacion de 0 a 4 anos. mujeres,poblacion de 10 a 14 anos,poblacion de 10 a 14 anos. hombres,poblacion de 10 a 14 anos. mujeres,poblacion de 100 anos y mas,poblacion de 100 anos y mas. hombres,poblacion de 100 anos y mas. mujeres,poblacion de 15 a 19 anos,poblacion de 15 a 19 anos. hombres,poblacion de 15 a 19 anos. mujeres,poblacion de 20 a 24 anos,poblacion de 20 a 24 anos. hombres,poblacion de 20 a 24 anos. mujeres,poblacion de 25 a 29 anos,poblacion de 25 a 29 anos. hombres,poblacion de 25 a 29 anos. mujeres,poblacion de 30 a 34 anos,poblacion de 30 a 34 anos. hombres,poblacion de 30 a 34 anos. mujeres,poblacion de 35 a 39 anos,poblacion de 35 a 39 anos. hombres,poblacion de 35 a 39 anos. mujeres,poblacion de 40 a 44 anos,poblacion de 40 a 44 anos. hombres,poblacion de 40 a 44 anos. mujeres,poblacion de 45 a 49 anos,poblacion de 45 a 49 anos. hombres,poblacion de 45 a 49 anos. mujeres,poblacion de 5 a 9 anos,poblacion de 5 a 9 anos. hombres,poblacion de 5 a 9 anos. mujeres,poblacion de 50 a 54 anos,poblacion de 50 a 54 anos. hombres,poblacion de 50 a 54 anos. mujeres,poblacion de 55 a 59 anos,poblacion de 55 a 59 anos. hombres,poblacion de 55 a 59 anos. mujeres,poblacion de 60 a 64 anos,poblacion de 60 a 64 anos. hombres,poblacion de 60 a 64 anos. mujeres,poblacion de 65 a 69 anos,poblacion de 65 a 69 anos. hombres,poblacion de 65 a 69 anos. mujeres,poblacion de 70 a 74 anos,poblacion de 70 a 74 anos. hombres,poblacion de 70 a 74 anos. mujeres,poblacion de 75 a 79 anos,poblacion de 75 a 79 anos. hombres,poblacion de 75 a 79 anos. mujeres,poblacion de 80 a 84 anos,poblacion de 80 a 84 anos. hombres,poblacion de 80 a 84 anos. mujeres,poblacion de 85 a 89 anos,poblacion de 85 a 89 anos. hombres,poblacion de 85 a 89 anos. mujeres,poblacion de 90 a 94 anos,poblacion de 90 a 94 anos. hombres,poblacion de 90 a 94 anos. mujeres,poblacion de 95 a 99 anos,poblacion de 95 a 99 anos. hombres,poblacion de 95 a 99 anos. mujeres,poblacion de edad no especificada,poblacion de edad no especificada. hombres,poblacion de edad no especificada. mujeres,poblacion que se considera afrodescendiente,poblacion total,poblacion total hombres,poblacion total mujeres,porcentaje de hombres,porcentaje de hombres de 0 a 4 anos,porcentaje de hombres de 10 a 14 anos,porcentaje de hombres de 15 a 19 anos,porcentaje de hombres de 15 a 29 anos,porcentaje de hombres de 20 a 24 anos,porcentaje de hombres de 25 a 29 anos,porcentaje de hombres de 30 a 34 anos,porcentaje de hombres de 35 a 39 anos,porcentaje de hombres de 40 a 44 anos,porcentaje de hombres de 45 a 49 anos,porcentaje de hombres de 5 a 9 anos,porcentaje de hombres de 50 a 54 anos,porcentaje de hombres de 55 a 59 anos,porcentaje de hombres de 60 a 64 anos,porcentaje de hombres de 60 y mas anos,porcentaje de hombres de 65 a 69 anos,porcentaje de hombres de 70 a 74 anos,porcentaje de hombres de 75 a 79 anos,porcentaje de hombres de 80 a 84 anos,porcentaje de hombres de 85 anos y mas,porcentaje de la poblacion nacional/estatal que representa,porcentaje de mujeres,porcentaje de mujeres de 0 a 4 anos,porcentaje de mujeres de 10 a 14 anos,porcentaje de mujeres de 15 a 19 anos,porcentaje de mujeres de 15 a 29 anos,porcentaje de mujeres de 20 a 24 anos,porcentaje de mujeres de 25 a 29 anos,porcentaje de mujeres de 30 a 34 anos,porcentaje de mujeres de 35 a 39 anos,porcentaje de mujeres de 40 a 44 anos,porcentaje de mujeres de 45 a 49 anos,porcentaje de mujeres de 5 a 9 anos,porcentaje de mujeres de 50 a 54 anos,porcentaje de mujeres de 55 a 59 anos,porcentaje de mujeres de 60 a 64 anos,porcentaje de mujeres de 60 y mas anos,porcentaje de mujeres de 65 a 69 anos,porcentaje de mujeres de 70 a 74 anos,porcentaje de mujeres de 75 a 79 anos,porcentaje de mujeres de 80 a 84 anos,porcentaje de mujeres de 85 anos y mas,porcentaje de poblacion de 15 a 29 anos,porcentaje de poblacion de 60 y mas anos,porcentaje de poblacion en localidades de menos de 2 500 habitantes,porcentaje de poblacion que se considera afrodescendiente,promedio de ocupantes por dormitorio,relacion de dependencia,relacion hombres-mujeres,indice de envejecimiento
0,aguascalientes,253.862308531138,27.0,26.0,28.0,,124430.0,62978.0,61452.0,129717.0,66080.0,63637.0,112.0,36.0,76.0,131967.0,66903.0,65064.0,127020.0,63154.0,63866.0,118426.0,58141.0,60285.0,106825.0,51651.0,55174.0,99257.0,47774.0,51483.0,92378.0,43839.0,48539.0,84669.0,40163.0,44506.0,131048.0,66359.0,64689.0,74121.0,34611.0,39510.0,58865.0,27608.0,31257.0,48306.0,22435.0,25871.0,35823.0,16698.0,19125.0,25586.0,11782.0,13804.0,16581.0,7739.0,8842.0,10186.0,4397.0,5789.0,5576.0,2360.0,3216.0,2410.0,942.0,1468.0,796.0,284.0,512.0,1508.0,749.0,759.0,22425.0,1425607.0,696683.0,728924.0,48.8692185153412,4.42230490998168,4.640126845114,4.69791777116619,27.0425069043904,4.4346636013367,4.08265155723022,3.62692481351367,3.35468250451689,3.07836744495994,2.8202393232493,4.6597181797052,2.43037878686805,1.93862926664509,1.57538204857949,9.5803625056399,1.17253084230801,0.827330122414242,0.543431320434886,0.308756624363896,0.254336250499439,1.13130821058456,51.1307814846588,4.31514943834663,4.46857978272578,4.56878349047363,25.9851819299197,4.48466012545476,4.23320288828235,3.8743093001259,3.35468250451689,3.4084006800089,3.12520407640199,4.54245105150695,2.77438576952866,2.19486145275012,1.81665740935146,10.8084019418676,1.17253084230801,0.969314633322543,0.620883800915526,0.406502637808186,0.3701989819528,26.5018794339438,10.2082790592508,15.9157467661144,1.57301416168692,1.65595078673278,51.2048832384475,95.5769051368867,37.740884487078
1,baja california,52.7504586983258,30.0,30.0,30.0,,266301.0,134410.0,131891.0,312348.0,159306.0,153042.0,252.0,81.0,171.0,315639.0,161298.0,154341.0,340359.0,173450.0,166909.0,328244.0,166250.0,161994.0,302389.0,152164.0,150225.0,292069.0,148169.0,143900.0,273611.0,138332.0,135279.0,260844.0,134187.0,126657.0,299654.0,152609.0,147045.0,221388.0,112789.0,108599.0,168653.0,84778.0,83875.0,134022.0,65287.0,68735.0,94704.0,44982.0,49722.0,65425.0,30812.0,34613.0,40874.0,18833.0,22041.0,25204.0,11060.0,14144.0,12451.0,5277.0,7174.0,4858.0,1897.0,2961.0,1512.0,522.0,990.0,8219.0,4096.0,4123.0,64362.0,3769020.0,1900589.0,1868431.0,50.4266095695963,3.57397267231103,4.23595930760495,4.28892674725411,26.4170761505579,4.6120494011781,4.42060082413294,4.04605295520821,3.9398255850283,3.67825896664035,3.56804308443866,4.05788554087281,2.99906854949251,2.25425381454642,1.7359865624371,9.4253445702146,1.19607498508961,0.819293549432687,0.500770979373809,0.294086286405476,0.206791053288914,2.99095281648969,49.5733904304037,3.50699226042537,4.06939904557566,4.10393955968423,25.920824241488,4.4381236869486,4.30743344303514,3.99449478980675,3.9398255850283,3.59707945195718,3.3678197809456,3.90993833494514,2.88765611368429,2.23024297217534,1.82766915877761,10.7573963100518,1.19607498508961,0.920362444064443,0.586071956479484,0.376090093573151,0.300361545319734,26.1710736622331,10.0856705792197,6.33533385336241,1.70765875479568,1.61835759511432,42.6048586047873,101.721123231203,43.1857798504616
2,baja california sur,10.8030550741951,29.0,29.0,30.0,,62455.0,31479.0,30976.0,67665.0,34455.0,33210.0,55.0,18.0,37.0,65469.0,33788.0,31681.0,66743.0,34418.0,32325.0,68798.0,35046.0,33752.0,67779.0,34653.0,33126.0,64927.0,33289.0,31638.0,59389.0,30390.0,28999.0,51771.0,26718.0,25053.0,66933.0,33962.0,32971.0,43337.0,21910.0,21427.0,33731.0,16905.0,16826.0,27095.0,13415.0,13680.0,19274.0,9587.0,9687.0,12545.0,6165.0,6380.0,8166.0,3984.0,4182.0,4649.0,2134.0,2515.0,2556.0,1165.0,1391.0,936.0,367.0,569.0,332.0,118.0,214.0,3842.0,1913.0,1929.0,26330.0,798447.0,405879.0,392568.0,50.8335556398859,3.96159097916575,4.33611668690733,4.25217560926498,25.559576796067,4.33146028529899,4.41049326394875,4.36103472794659,4.18937711189836,3.82454175344983,3.36242535599449,4.27407328169342,2.75734484429371,2.12747214024578,1.68826020475582,9.1475520217048,1.20651141133016,0.775857186904185,0.501381189395989,0.268561108978675,0.209915618451935,0.633617572596523,49.1664443601141,3.89828908703066,4.17943506522109,3.98701241497348,25.0251510985846,4.06805897269713,4.24764505634875,4.16886377508322,4.18937711189836,3.64948622271443,3.15288728361891,4.14935722780501,2.69655992600097,2.1175300935685,1.72161010816695,9.8953253515394,1.20651141133016,0.802914655709441,0.526299230435248,0.31650946067543,0.27825145827172,25.2968456025321,9.51516791361746,8.88562421801322,3.2976515661027,1.7329627051744,44.7265130528068,103.390750137556,38.3693727068352
3,campeche,16.1496810831421,29.0,29.0,30.0,,78935.0,39817.0,39118.0,80168.0,41047.0,39121.0,149.0,78.0,71.0,76140.0,38468.0,37672.0,75556.0,37277.0,38279.0,72798.0,35046.0,37752.0,72709.0,34557.0,38152.0,70275.0,33611.0,36664.0,64170.0,30761.0,33409.0,57628.0,28036.0,29592.0,82015.0,41624.0,40391.0,50254.0,24392.0,25862.0,40805.0,19857.0,20948.0,32778.0,16020.0,16758.0,25796.0,12530.0,13266.0,17559.0,8668.0,8891.0,11916.0,5984.0,5932.0,7536.0,3718.0,3818.0,4413.0,2113.0,2300.0,1768.0,832.0,936.0,701.0,353.0,348.0,4294.0,2150.0,2144.0,19319.0,928363.0,456939.0,471424.0,49.219863350866,4.30887736738274,4.44198431069541,4.16289259784713,24.3609673936705,4.03400611859071,3.79257393116748,3.73965580492366,3.63728249730269,3.32886397011479,3.03397257131232,4.50442553532258,2.63962972462013,2.14886550679657,1.73363677387728,11.0591944835957,1.35595934935595,0.938025190759565,0.647570690067516,0.402350906696361,0.365340683433813,0.736714034304626,50.780136649134,4.23323366545139,4.23355831653264,4.07675184428868,24.2292448005455,4.14243957972835,4.08540920645536,4.12869601728875,3.63728249730269,3.61542265783183,3.2023582654542,4.37099394092865,2.79870875443284,2.26693028334464,1.81350093986488,11.1489942038868,1.35595934935595,0.962157587799179,0.641943404659176,0.413172609404709,0.395533233990102,24.2940732780777,11.1047984511979,24.9660962360628,2.0809747911108,2.04998942882259,50.7175675609553,96.9273944474613,42.5584153816803
4,chiapas,75.6207227426424,24.0,24.0,25.0,,574152.0,288911.0,285241.0,583132.0,295114.0,288018.0,1449.0,651.0,798.0,526577.0,262521.0,264056.0,464523.0,223732.0,240791.0,424403.0,198455.0,225948.0,396045.0,184761.0,211284.0,372863.0,174270.0,198593.0,329204.0,156472.0,172732.0,284333.0,135809.0,148524.0,612792.0,308758.0,304034.0,243848.0,117157.0,126691.0,196355.0,94905.0,101450.0,158726.0,77668.0,81058.0,125777.0,62035.0,63742.0,85855.0,43119.0,42736.0,63158.0,31971.0,31187.0,38245.0,19047.0,19198.0,21839.0,10638.0,11201.0,8853.0,4300.0,4553.0,3855.0,1752.0,2103.0,27844.0,13901.0,13943.0,56532.0,5543828.0,2705947.0,2837881.0,48.8100821309752,5.23770554809441,5.35016055158971,4.75927776440251,25.4344836603832,4.05606687764141,3.5978168174527,3.34955648892383,3.15936376900296,2.83670148426826,2.46209923741621,5.59751442353712,2.12395467427027,1.72054523725957,1.4080533953688,9.33048692332895,1.12464068061111,0.781710026715088,0.579606467313901,0.345305570139435,0.314377271580193,4.39937383477255,51.1899178690248,5.17117163501562,5.22151623354963,4.78710598145317,25.878578070765,4.3653317341022,4.0962410333315,3.8303954471224,3.15936376900296,3.1314811645574,2.69261114608019,5.51187240572126,2.29679781522209,1.83920040377202,1.46951115159145,9.08575188265465,1.12464068061111,0.774766569301144,0.565393228116688,0.348043069015429,0.338198950540828,25.6618402083835,9.20519348859605,50.8151768056296,1.01972860629875,2.21605025281093,62.3839779891942,95.3509678524223,28.6856044599215
5,chihuahua,15.1240020676812,29.0,29.0,30.0,,291286.0,147610.0,143676.0,333715.0,169615.0,164100.0,243.0,88.0,155.0,326333.0,165942.0,160391.0,314067.0,157281.0,156786.0,298299.0,147844.0,150455.0,275644.0,135649.0,139995.0,263669.0,130612.0,133057.0,251983.0,124354.0,127629.0,248522.0,123238.0,125284.0,317322.0,161182.0,156140.0,219930.0,107604.0,112326.0,173639.0,84028.0,89611.0,140861.0,66530.0,74331.0,100944.0,47253.0,53691.0,74018.0,34187.0,39831.0,50265.0,23473.0,26792.0,31387.0,14273.0,17114.0,15250.0,6585.0,8665.0,5376.0,2130.0,3246.0,1477.0,531.0,946.0,7639.0,3813.0,3826.0,60918.0,3741869.0,1853822.0,1888047.0,49.5426750642526,3.95288988626839,4.54216799715068,4.44380769261668,25.4629572072352,4.21187232709287,3.95915623836775,3.63258288857408,3.49769564274295,3.33011089300873,3.30022521376562,4.31633830803137,2.88155791153732,2.25020954788537,1.78162566312198,10.5431919520392,1.26540143483396,0.915503330003776,0.628590097556926,0.382220698778597,0.2499578226301,2.96940680189691,50.4573249357474,3.84754018900818,4.39448025429607,4.29515589559293,24.8183201439746,4.1986165822673,4.02907694491234,3.74896565021437,3.49769564274295,3.41781304311732,3.35501562571132,4.18131716578786,3.00800968338854,2.39971828194835,1.99053084571652,11.9291208409205,1.26540143483396,1.06664560029779,0.717470536094456,0.458300640292644,0.34845202357648,25.1376856808499,11.2425051483171,12.5023885122649,1.62800995972868,1.58570684361776,48.5996322246351,98.1872802954587,44.551708915096
6,ciudad de mexico,6163.32046850109,35.0,34.0,36.0,,479904.0,242877.0,237027.0,608962.0,309140.0,299822.0,1308.0,357.0,951.0,650389.0,331109.0,319280.0,714605.0,359049.0,355556.0,752289.0,372081.0,380208.0,743611.0,363448.0,380163.0,705850.0,340545.0,365305.0,670307.0,317312.0,352995.0,668945.0,313846.0,355099.0,563907.0,286280.0,277627.0,623483.0,286394.0,337089.0,526447.0,239651.0,286796.0,469514.0,209065.0,260449.0,356196.0,157245.0,198951.0,267744.0,115130.0,152614.0,175215.0,74210.0,101005.0,117480.0,46094.0,71386.0,66316.0,24278.0,42038.0,28780.0,9308.0,19472.0,9066.0,2725.0,6341.0,9626.0,4783.0,4843.0,186914.0,9209944.0,4404927.0,4805017.0,47.8279455336536,2.63987614341156,3.36010124867423,3.5988864732719,24.1410053852783,3.90257162850241,4.0442189063465,3.95038519320745,3.70144814559671,3.44892426544387,3.41125165456237,3.11163157621291,3.11287066381836,2.60481213801523,2.27236710731086,14.5088888000029,1.70912570630711,1.25136978960945,0.806602554389968,0.501004421803681,0.398551441374092,7.30866589896375,52.1720544663464,2.57629138471083,3.25882214071296,3.47031483042217,21.9792865841947,3.86460554950383,4.13255280958767,4.1320636960592,3.70144814559671,3.83676955513929,3.85963832989251,3.01758047928343,3.66388422661043,3.117240078006,2.83086954168323,17.7745015076537,1.70912570630711,1.65879048963308,1.09784248761836,0.775907963181273,0.747821977457736,23.0131501976345,16.2126896048593,0.698288719236512,2.02948030954368,1.58352903946202,40.991534670459,91.6734945994988,90.2494776959691
7,coahuila de zaragoza,20.7577816601794,29.0,28.0,29.0,,279912.0,141812.0,138100.0,268144.0,136301.0,131843.0,214.0,70.0,144.0,269284.0,136850.0,132434.0,264313.0,133659.0,130654.0,245917.0,122570.0,123347.0,224329.0,110882.0,113447.0,219634.0,109371.0,110263.0,218687.0,106991.0,111696.0,205202.0,100846.0,104356.0,276224.0,140417.0,135807.0,178214.0,86423.0,91791.0,142215.0,69115.0,73100.0,118950.0,57307.0,61643.0,84422.0,40630.0,43792.0,61684.0,29458.0,32226.0,39801.0,18836.0,20965.0,24851.0,11199.0,13652.0,12495.0,5503.0,6992.0,4712.0,1826.0,2886.0,1408.0,529.0,879.0,6159.0,3074.0,3085.0,45976.0,3146771.0,1563669.0,1583102.0,49.6912231617744,4.51542565589127,4.33995030267986,4.35743097205258,25.1877649229941,4.25582657138163,3.90274252279492,3.53058575844453,3.48247411650978,3.40669270830017,3.2110302068514,4.47100756158354,2.7517885049156,2.20068572622151,1.82470805053283,10.5958304364681,1.29369689729263,0.93797005169693,0.599755716401771,0.356586550646817,0.252434875750331,2.49715936378637,50.3087768382256,4.39723213182654,4.19800344646203,4.21682143480315,24.4576482404936,4.16014458328504,3.92748292371041,3.61225773830069,3.48247411650978,3.55650427368933,3.32279186349667,4.32422088433719,2.92271060544887,2.32757182358088,1.96277031355672,11.5934828549313,1.29369689729263,1.02610573990038,0.667545051728771,0.434692346587226,0.347097954156706,24.8204490080277,11.0977414593079,8.34900283496956,1.46105325109453,1.65196989654908,50.5029124306036,98.772473283465,42.2838113262484
8,colima,129.981519801061,30.0,30.0,31.0,,52313.0,26532.0,25781.0,60801.0,30952.0,29849.0,148.0,53.0,95.0,60663.0,30667.0,29996.0,59343.0,29637.0,29706.0,58035.0,28584.0,29451.0,57436.0,27688.0,29748.0,54566.0,26634.0,27932.0,51179.0,24786.0,26393.0,47133.0,23147.0,23986.0,60049.0,30646.0,29403.0,41541.0,20037.0,21504.0,34819.0,16843.0,17976.0,29795.0,14473.0,15322.0,22071.0,10602.0,11469.0,16086.0,7710.0,8376.0,10803.0,5101.0,5702.0,6859.0,3103.0,3756.0,3623.0,1561.0,2062.0,1571.0,655.0,916.0,601.0,236.0,365.0,1956.0,975.0,981.0,13574.0,731391.0,360622.0,370769.0,49.3063217895763,3.6373357461597,4.24328418570537,4.20421284967132,24.715345880822,4.06300767032018,3.91864936560489,3.79581456881011,3.65131917168768,3.39797240329844,3.17327794800085,4.20133390912144,2.74692056180468,2.30904741340901,1.98413840849425,12.0935250398307,1.4534537004668,1.05698245902651,0.699308368805994,0.425397739346206,0.343416479878262,0.580404447682744,50.6936782104237,3.53437934839979,4.09207126063323,4.11222384448237,24.1092193364847,4.07246704641263,4.03750848259269,4.07822492751239,3.65131917168768,3.61827990156765,3.28829847758882,4.03092804705011,2.94803512307471,2.46437311069526,2.10052986215358,12.9974471859552,1.4534537004668,1.14828600217977,0.781700905495349,0.514919081206687,0.471323695737112,24.4080692590841,12.5517695202451,9.93886990679404,1.85591564566696,1.66945650997967,47.5066227174375,97.2632555580429,52.8733043433066
9,durango,14.8556253793468,27.0,27.0,28.0,,167600.0,85081.0,82519.0,170271.0,86764.0,83507.0,157.0,60.0,97.0,162990.0,82839.0,80151.0,153588.0,76936.0,76652.0,141107.0,69038.0,72069.0,129526.0,63232.0,66294.0,118830.0,57634.0,61196.0,114976.0,55778.0,59198.0,108070.0,52309.0,55761.0,176033.0,89816.0,86217.0,97009.0,45980.0,51029.0,79997.0,37971.0,42026.0,66536.0,31635.0,34901.0,49727.0,23758.0,25969.0,36956.0,17758.0,19198.0,25689.0,12593.0,13096.0,17026.0,8058.0,8968.0,9042.0,4191.0,4851.0,3333.0,1441.0,1892.0,1012.0,418.0,594.0,3175.0,1576.0,1599.0,17311.0,1832650.0,904866.0,927784.0,49.3747305813985,4.65056915235245,4.74256275707512,4.52802033370229,25.3310675419854,4.20535946104757,3.77365091078042,3.45629210565873,3.15030268246355,3.04885281296547,2.85923557304691,4.90938657265062,2.51328933163886,2.07551346697823,1.72918460213996,11.0608996003498,1.29862392216346,0.970660981975704,0.688339550964074,0.44045422867216,0.333975594091201,1.4543222586083,50.6252694186015,4.51052897689228,4.5645335410432,4.38109293649818,24.7112617889515,4.18983588187868,3.93932685606526,3.62366252613455,3.15030268246355,3.23579168887249,3.04792358463494,4.712663469028,2.78927014580686,2.29716175405513,1.90770576258216,11.8298180169189,1.29862392216346,1.04937208762077,0.715833777449815,0.490195274600637,0.406346082892633,25.0172863799724,11.4501701307752,27.6250238725343,0.944588437508526,1.70215376482365,56.0148179859103,97.5298129737094,40.7620878607678
