,estados,disponibilidad de bienes: automovil o camioneta,disponibilidad de bienes: bicicleta como medio de transporte,disponibilidad de bienes: lavadora,disponibilidad de bienes: motocicleta o motoneta,disponibilidad de bienes: refrigerador,disponibilidad de servicios en la vivienda: cisterna o aljibe,disponibilidad de servicios en la vivienda: tinaco,porcentaje de viviendas con agua entubada dentro de la vivienda,porcentaje de viviendas con electricidad,porcentaje de viviendas con piso de tierra,porcentaje de viviendas con techos de materiales resistentes,porcentaje de viviendas particulares habitadas con disponibilidad de drenaje,porcentaje de viviendas particulares habitadas con disponibilidad de excusado,porcentaje de viviendas particulares habitadas propias,porcentaje de viviendas particulares habitadas que disponen de internet,porcentaje de viviendas particulares habitadas que disponen de computadora,porcentaje de viviendas particulares habitadas que disponen de television de paga,porcentaje de viviendas particulares habitadas que disponen de telefono celular,porcentaje de viviendas particulares habitadas que disponen de telefono fijo,promedio de ocupantes en viviendas particulares habitadas,promedio de ocupantes por cuarto (indice de hacinamiento),tasa de crecimiento promedio anual de las viviendas particulares habitadas,total de viviendas particulares habitadas,viviendas colectivas,viviendas habitadas,viviendas moviles,viviendas particulares habitadas que disponen de computadora,viviendas particulares habitadas que disponen de drenaje,viviendas particulares habitadas que disponen de energia electrica,viviendas particulares habitadas que disponen de excusado o sanitario,viviendas que son casa independiente o local no construido para habitacion,viviendas que son cuarto de azotea,viviendas que son departamento en edificio o vivienda en vecindad,viviendas que son refugio,"viviendas, de cada cien que cuentan con electricidad, agua y drenaje"
0,aguascalientes,62.2730958444189,27.3961104735357,86.9690241987923,11.8240153778001,94.6058532010746,39.5120864431324,76.6566237749701,95.2677514371352,99.5725510412916,0.751014867451964,97.4,99.2583112916471,99.3774788801355,68.0191226823438,61.1389312739792,45.892215506812,45.0994919833891,93.2343896935579,38.2937273808259,3.67862055744525,0.889100209370259,2.95785917619391,386445,226,386671,14,177149,383148,384361,383608,339447,11,14912,83,98.6971873858517
1,baja california,69.9301114877767,13.559699751191,82.7307120553095,5.78159861778578,94.9289972217634,6.22031355008648,10.6795624386607,92.9084615176216,98.9837020024453,1.97299368757379,59.9,96.2702239281416,99.3407914871824,61.337090272434,69.9312476021432,50.3782823873433,54.0244229631436,94.3996553203799,50.4090448686521,3.25833492826312,0.898141206314437,2.88707467900564,1148913,650,1149563,2754,576454,1101573,1132622,1136708,829493,63,80869,460,94.8372341383141
2,baja california sur,67.394864596128,11.8867971824631,68.5308199433484,7.56147695084351,91.8310647649128,27.0043198890365,81.7641357297437,82.2909616557625,98.2983647924866,4.69338814662556,80.6,96.8691249091319,98.7495717711545,67.3317976611825,62.1341254522514,45.5167573258466,57.0434244938544,94.6352325804861,38.3317039747993,3.30341998178461,1.01109630290311,3.1260476938912,240468,192,240660,339,108948,231864,235285,236365,193490,11,17440,119,92.295640839245
3,campeche,34.4945258069103,23.8870037391294,77.3212000568747,24.7289803666883,84.0170470484703,20.3438615638246,72.4003827515842,64.6927035097091,98.167711291556,2.74766448518759,60.3,94.4028345137402,96.3834586755104,72.6328516322183,43.8166020421104,33.7286383497104,58.2631686143701,83.8986861168007,26.4555896718558,3.55648083744202,1.12336365166361,2.06094770780123,260725,99,260824,5,87769,245656,255453,250810,211930,8,5739,48,90.8854396839609
4,chiapas,21.1228353874513,13.9125661576806,43.77975009365,11.3567563357454,64.5810971697308,30.8254179014246,49.512983039155,52.3692145641474,97.7277734301112,11.088231257951,34.3,91.0070803090264,96.7762896806999,78.5817659901169,21.6740535789126,15.7977308889144,32.1488311370405,70.0757730295489,11.8426977127153,4.09078521331795,1.3228047166377,2.21575475743661,1351023,607,1351630,12,212970,1226871,1317473,1304646,1139352,14,27750,499,83.7918411399705
5,chihuahua,68.4274593188,10.9843387749578,85.945240288687,6.74109423368277,94.4516388181822,3.70804717141772,35.6208822155372,93.5900313049857,98.2915424145444,1.9027493374433,64.1,96.5104328121657,98.464265599008,70.3703899532684,56.8070661072228,42.676423459965,42.078004863843,91.7794941428677,40.2153363866973,3.24979108179028,0.804773819905443,2.00650053897518,1146395,520,1146915,139,488724,1105223,1125620,1127598,1038624,17,10259,228,95.6907399241171
6,ciudad de mexico,46.8489035375371,19.9969187938677,82.8229298418811,7.79566952465492,93.7482763594823,60.5146340940545,84.6168240395121,90.5284522861786,99.8075336216635,0.588590308225985,94.6,99.7142980681782,99.6959489043006,55.585481713785,75.7277623576168,59.9310216778112,46.9015892556017,92.1645073394839,68.9734169667633,3.32369741829081,0.804541609006259,1.20182819346051,2756319,1114,2757433,102,1649403,2744306,2746872,2743801,806142,3732,890555,436,98.678714860897
7,coahuila de zaragoza,61.5834050706728,18.5529976951487,86.6417483546694,7.51259337424676,96.7425508872289,13.6080642026048,66.4682458137791,92.5064008219711,99.5163699980561,0.80753103218461,89.6,98.5236733220405,99.2914387270556,74.1891272516809,57.7155869040016,40.8730665629946,49.2803865485546,91.559912249035,41.3353697481325,3.48279692316237,0.838291448266439,2.21547110259743,900883,366,901249,36,367970,886984,895921,893896,835677,4,4480,57,97.7100330454583
8,colima,52.0453090154342,18.3770893594471,75.2412285543951,16.2710591975977,93.4425577954912,25.1248647574466,74.4723884386937,92.398154077149,99.200247300669,2.54189759102652,80.6,99.2329263176489,99.247057784451,61.1885067479321,58.4667358519729,39.8330720484003,50.4157742498178,91.2963412749233,35.439510697962,3.21154364194396,0.95651875737733,2.37721762496321,226853,197,227050,17,90200,224708,224634,224740,204805,1,4798,73,98.423899843229
9,durango,55.4726630463436,26.0018412546488,77.3237728686666,11.9105653138447,91.1039822201313,23.6887144068037,77.6926321424661,79.8623925765804,97.9772560438981,3.5790908095437,81.7,94.7278877078002,96.9207652156985,71.917861532159,43.619890416959,34.424161803294,45.1766428330988,88.0983570655105,27.9580729282843,3.68979117576682,0.907988849860623,1.98129962008124,493698,291,493989,18,169760,467143,483167,477957,459875,6,3088,60,93.6793053522109
